Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
1;151;;RTE;DE BELLEVILLE;86,8;Appartement;3;1258
2;79;;CRS;DE VERDUN;138,03;Appartement;5;1283
3;10;;RUE;AMPERE;68,11;Appartement;2;1283
4;1;;RUE;GERARD DE NERVAL;70,78;Appartement;3;1031
5;14;;RUE;CASTELLION;88;Appartement;3;1283
6;47;;RUE;DU CHANE;48,38;Appartement;2;1014
7;12;;RUE;DU MURET;22,2;Appartement;1;1283
8;1;;ESPA;CHARLES DE GAULLE;64,44;Appartement;3;1283
9;86;;RUE;GUSTAVE EIFFEL;46,68;Appartement;2;1031
10;25;;RUE;DE LA ROCHE SAMUEL;64,21;Appartement;2;1060
11;115;;RUE;MASONOD;77,3;Appartement;4;1185
12;9;;RUE;NEUVE;41,82;Appartement;1;1262
13;1172;;RTE;DE GENEVE;38,43;Appartement;3;1142
14;77;B;RUE;DU COMMERCE;42;Appartement;2;1357
15;154;;RUE;SUR LA VIGNETTE;91,69;Appartement;3;1204
16;3;;RUE;DU DOCTEUR GREZEL;107,61;Appartement;5;1269
17;7;;RUE;DU DOCTEUR GREZEL;45,5;Appartement;2;1269
18;79;;GR;GRANDE RUE DE BULLIEZ;70,09;Appartement;3;1202
19;54;;GR;GRANDE RUE;68,11;Appartement;3;1396
20;369;;AV;CHARLES DE GAULLE;52,6;Appartement;2;1202
21;956;;RTE;DE BOURG;94,09;Maison;2;1202
22;5;;PL;DE L EGLISE;37,63;Appartement;2;1202
23;15;;CHE;DU LAVOIR;32,27;Appartement;2;1390
24;1143;;RUE;CLAIRES FONTAINES;43,23;Appartement;2;1390
25;44;;RUE;PASTEUR;71,29;Appartement;3;1202
26;399;;RUE;DU COTEILLON;103,62;Maison;4;1202
27;347;;RUE;DU CHATEAU;48,22;Appartement;3;1103
28;240;;RUE;DE PRE BAILLY;45,36;Appartement;2;1173
29;329;;RUE;DES CARPIERES;24,8;Appartement;1;1399
30;6;;RUE;DES USINIERS;45,54;Appartement;1;1173
31;282;;CHE;DES LONGES RAYES;42,2;Appartement;2;1071
32;17;;LOT;LES JARDINS DE CHEVRY;30,23;Appartement;1;1103
33;812;;RUE;DES VERTES CAMPAGNES;164,18;Maison;6;1173
34;27;;RLE;DE L EGLISE;46,12;Appartement;3;1173
35;663;;RTE;BLANCHE;84,97;Appartement;3;1399
36;8;;RTE;DE DIVONNE;134,17;Appartement;4;1436
37;242;;RUE;DE PRE BAILLY;50,33;Appartement;2;1173
38;377;;RUE;DES ABATTOIRS;88,7;Appartement;4;1173
39;77;J;LOT;CLOS CHAMP VRILLARD;105,68;Maison;6;1071
40;923;;RTE;DE MURY;99,39;Maison;4;1153
41;77;;RUE;LA PIECE;123,16;Maison;5;1103
42;88;;RUE;DE LA PIERRE;222,97;Maison;3;1153
43;256;;AV;DE BELLE FERME;34,56;Appartement;2;1173
44;256;;AV;DE BELLE FERME;55,4;Appartement;3;1173
45;711;;RUE;DES MORAINES;42,92;Appartement;2;1103
46;120;B;CHE;DU MARTINET;67,94;Appartement;3;1071
47;120;B;CHE;DU MARTINET;68,08;Appartement;3;1071
48;68;;RUE;DES USINIERS;61,54;Appartement;4;1173
49;18;;AV;FRANCIS BLANCHARD;51;Appartement;2;1173
50;242;;RUE;DES VERTES CAMPAGNES;92,45;Appartement;3;1173
51;348;;RUE;DE PRE BAILLY;77,86;Appartement;4;1173
52;183;;RUE;DU VIEUX BOURG;45,12;Appartement;1;1399
53;346;;RUE;DE PRE BAILLY;68,45;Appartement;3;1173
54;67;;RTE;DE GENEVE;42,01;Appartement;2;1071
55;170;;RUE;DES TERREAUX;32,6;Appartement;2;1173
56;282;;CHE;DES LONGES RAYES;42,59;Appartement;2;1071
57;71;;CHE;DE LA PRALAY;58,13;Appartement;2;1135
58;39;;RUE;BUFFON;108,65;Appartement;4;1033
59;3;;RUE;TURENNE;82,6;Appartement;4;1033
60;86;;RUE;DE LA REPUBLIQUE;38;Appartement;1;1033
61;24;;RUE;LAMARTINE;47,65;Appartement;3;1033
62;60;;RUE;DE SAVOIE;75;Appartement;4;1033
63;198;;RTE;DE VOUVRAY;62,38;Appartement;3;1033
64;198;;RTE;DE VOUVRAY;92,04;Appartement;4;1033
65;54;;RUE;ANTOINE JACQUET;88,83;Appartement;4;1033
66;8;;RUE;GEORGES MARIN;69,66;Appartement;3;1033
67;392;;RTE;DE VOUVRAY;81,24;Appartement;4;1033
68;1;;RUE;JOLIOT CURIE;56,65;Appartement;2;1033
69;76;;RUE;COLONEL XAVIER RENDU;54,7;Appartement;2;1033
70;35;;RUE;BUFFON;70,15;Appartement;3;1033
71;20;;RUE;PARMENTIER;57,23;Appartement;2;1033
72;38;B;RUE;JOSEPH MARION;61,89;Appartement;3;1033
73;6;;RUE;GEORGES MARIN;68,92;Appartement;3;1033
74;22;;RUE;DE L AVENIR;89,2;Appartement;5;1033
75;7;;RUE;TURENNE;28,8;Appartement;1;1033
76;1;;ALL;ALBERT CAMUS;58,3;Appartement;2;1033
77;1;;RUE;DE GEX;82,59;Appartement;3;1160
78;1;;AV;DU BIJOU;71,08;Appartement;3;1160
79;58;;CHE;DE LA PLANCHE BRULEE;97,03;Maison;4;1160
80;80;;RUE;DE MEYRIN;63,58;Appartement;3;1160
81;84;;RUE;DE MEYRIN;63,45;Appartement;3;1160
82;322;;RUE;DE BRETIGNY;112,93;Maison;4;1281
83;91;;CHE;DE LA PLANCHE BRULEE;133,77;Appartement;4;1160
84;26;;CHE;DE LA PLANCHE BRULEE;66,95;Appartement;3;1160
85;148;;IMP;DU SAUGY;70,53;Appartement;3;1281
86;30;;RUE;DE VERSOIX;74,85;Appartement;3;1160
87;322;;RUE;DE BRETIGNY;90,33;Maison;4;1281
88;27;;RTE;DE CESSY;85,12;Appartement;4;1435
89;40;;RUE;VICTOR HUGO;83,82;Maison;4;1160
90;38;;AV;DE VESSY;56,96;Appartement;2;1160
91;223;;RUE;DES PRALETS;113,52;Appartement;4;1281
92;48;;RUE;DE GENEVE;114,17;Appartement;4;1160
93;4;;IMP;DU PEGAN;36,21;Appartement;1;1160
94;80;;RUE;DE MEYRIN;63,54;Appartement;3;1160
95;17;;AV;DES ALPES;95,66;Appartement;5;1160
96;86;;RUE;DE MEYRIN;63,27;Appartement;3;1160
97;195;;IMP;DU SAUGY;102,52;Maison;4;1281
98;16;;AV;DU JURA;2,36;Appartement;0;1160
99;58;;AV;DU MONT BLANC;130,8;Appartement;6;1143
100;1403;;RUE;JEAN DE GINGINS;93,23;Maison;4;1143
101;44;;ALL;DU SQUARE DE LAUSANNE;88,11;Appartement;4;1143
102;90;;RUE;DE LAUSANNE;135,68;Appartement;4;1143
103;786;;AV;DES VOIRONS;46,05;Appartement;2;1143
104;47;;CHE;DES ECOLIERS;51,7;Appartement;2;1143
105;114;;RUE;DU CONTE DES PERMISSIONS;58,62;Appartement;2;1143
106;644;;RUE;D ARBERE;96,46;Maison;5;1143
107;28;;CHE;DU PEUDEX;67,33;Appartement;3;1143
108;96;;RUE;DU JURA;90,4;Appartement;4;1143
109;152;;GR;GRANDE RUE;50,11;Appartement;1;1143
110;5208;;;LE BULOZ;35,3;Appartement;3;1187
111;232;;RUE;DE LA ROCHETTE;127,2;Appartement;4;1079
112;211;;RUE;CHANTEPIE;44,48;Appartement;2;1313
113;102;;MAIL;DU NEUTRINO;95,43;Maison;4;1313
114;33;;MAIL;DU NEUTRINO;71,43;Appartement;3;1313
115;103;;MAIL;DU NEUTRINO;110,13;Maison;5;1313
116;94;;ALL;SIMON VAN DER MEER;87,38;Appartement;4;1313
117;247;;CHE;DE PRE DE PLANCHE;73,77;Maison;4;1313
118;4;;CHE;DU MARAIS;85,12;Appartement;4;1313
119;3;;RUE;STE MARIE;72,75;Appartement;4;1034
120;269;;CHE;DE CHARIGNIN;62,03;Appartement;3;1034
121;386;;CHE;DES SOUPIRS;63,17;Appartement;3;1034
122;150;;RUE;DE LA REPUBLIQUE;38,67;Appartement;2;1034
123;5001;;ALL;HONORE DE BALZAC;82,37;Maison;4;1034
124;99;;RUE;DE L AMITIE;78,54;Appartement;4;1034
125;13;;PL;DES FOURS;117,63;Appartement;5;1034
126;67;;RTE;DE CHAVORNOD;57,5;Appartement;3;1034
127;46;;AV;DES NATIONS;38,67;Appartement;2;1443
128;4;;RUE;DE LA MAIRIE;35,86;Appartement;3;1138
129;28;;AV;JEAN FALCONNIER;31,65;Appartement;2;1138
130;9;;RUE;DES FRERES SERPOLLET;53,81;Appartement;3;1138
131;231;;RUE;DE LA RABOUDIERE;71,8;Appartement;3;1224
132;190;A;RUE;CENTRALE;50,42;Appartement;2;1350
133;62;;CHE;DU BONATIER;85,95;Appartement;4;1248
134;541;;RUE;DES MONTS JURA;51,99;Appartement;2;1210
135;5245;;;LES MARS;30,98;Appartement;2;1247
136;40;;IMP;DES PISTES;21,48;Appartement;2;1210
137;172;;RUE;HECTOR BERLIOZ;79,06;Appartement;3;1030
138;768;;RUE;EDOUARD HERRIOT;56,63;Appartement;2;1194
139;59;;RUE;ALEXANDRE BERARD;164,87;Appartement;6;1004
140;29;;RUE;REINE CLOTILDE;54,84;Appartement;2;1004
141;54;;RUE;MARCEL DEMIA;68,23;Appartement;3;1004
142;28;;RUE;DU DOC CHARCOT;42,78;Appartement;2;1345
143;25;;RUE;DE LA COMMUNE 1871;70,1;Maison;3;1004
144;60;;ALL;DES FRERES CAUDRON;50,64;Appartement;2;1004
145;13;;RUE;JEAN MONNET;54,65;Appartement;2;1004
146;72;;RUE;DE LA REPUBLIQUE;35,59;Appartement;2;1004
147;2;;RUE;DE LA BATISSE;81,15;Appartement;3;1004
148;36;;RUE;DES APOTRES;74,72;Appartement;2;1004
149;54;B;RUE;ARISTIDE BRIAND;70,45;Appartement;3;1004
150;78;;AV;DU GEN SARRAIL;92,47;Appartement;5;1004
151;91;;;GRAND' RUE;295,21;Appartement;6;1109
152;780;;RUE;DE LA REPUBLIQUE;135,89;Appartement;2;1158
153;250;;RUE;DES FRENES;83,6;Maison;4;1192
154;5186;;;MATAFELON;42,89;Appartement;2;1240
155;8;;RUE;DE LA BIENNE;200;Appartement;4;1148
156;140;;RUE;DE L'ABBE JOLIVET;109,22;Maison;5;1288
157;8;;RUE;DE GENEVE;52,58;Appartement;2;1354
158;2;;RUE;DU RECULET;58,71;Appartement;2;1354
159;276;;RTE;DE POUGNY;35,6;Appartement;2;1288
160;226;;ALL;DES CAPUCINES;117;Maison;5;1354
161;53;;ALL;DES PRUNUS;165,92;Appartement;5;1354
162;132;;ALL;DES HETRES;131,91;Appartement;4;1354
163;2;;RUE;DU JURA;84,24;Appartement;3;1354
164;10;;RUE;DES HAUTAINS;112,3;Appartement;5;1354
165;2;;RUE;DE CHAMP FUSY;30,62;Appartement;1;1354
166;33;;RUE;DE GENEVE;53,43;Appartement;3;1354
167;3;A;RUE;GEORGES CHARPAK;47,6;Appartement;2;1354
168;461;;RUE;JEAN-JACQUES ROUSSEAU;132,16;Appartement;5;1354
169;16;;RUE;DES HAUTAINS;52,58;Appartement;2;1354
170;34;;RUE;DES ECOLES;138,05;Maison;5;1354
171;72;;CHE;DES COLLINES;105,12;Maison;4;1401
172;10;;RUE;DES HAUTAINS;111,06;Appartement;5;1354
173;181;;RUE;PARC JEAN MONNET;133,24;Appartement;4;1354
174;35;;RUE;DES PRELES;87,23;Appartement;4;1401
