Id_vente;Date;Valeur;Id_bien
1;07/01/2020;212150;1
2;27/01/2020;110600;2
3;03/02/2020;135700;3
4;05/02/2020;62500;4
5;28/02/2020;139130;5
6;16/03/2020;60000;6
7;16/03/2020;16300;7
8;31/03/2020;114500;8
9;18/05/2020;54120;9
10;07/02/2020;55000;10
11;12/02/2020;50000;11
12;03/01/2020;102000;12
13;15/05/2020;84800;13
14;30/01/2020;50000;14
15;05/02/2020;31000;15
16;12/02/2020;132500;16
17;01/04/2020;45000;17
18;23/01/2020;155000;18
19;27/01/2020;79300;19
20;30/01/2020;128810;20
21;07/02/2020;143850;21
22;13/02/2020;55000;22
23;17/03/2020;93585;23
24;17/03/2020;164000;24
25;06/05/2020;115000;25
26;29/05/2020;193700;26
27;02/01/2020;165000;27
28;09/01/2020;212000;28
29;16/01/2020;107500;29
30;21/01/2020;125000;30
31;22/01/2020;220000;31
32;27/01/2020;123100;32
33;28/01/2020;592487;33
34;04/02/2020;152470;34
35;05/02/2020;352300;35
36;11/02/2020;212862;36
37;12/02/2020;167550;37
38;17/02/2020;215000;38
39;18/02/2020;430000;39
40;20/02/2020;505000;40
41;25/02/2020;442100;41
42;02/03/2020;495000;42
43;03/03/2020;152000;43
44;10/03/2020;222450;44
45;16/03/2020;182000;45
46;18/03/2020;247000;46
47;26/03/2020;271000;47
48;03/04/2020;210000;48
49;09/04/2020;190000;49
50;30/04/2020;245000;50
51;06/05/2020;294000;51
52;07/05/2020;185000;52
53;12/05/2020;234810;53
54;18/05/2020;161000;54
55;04/06/2020;100000;55
56;11/06/2020;220470;56
57;26/06/2020;225000;57
58;07/01/2020;220900;58
59;15/01/2020;160000;59
60;14/02/2020;90500;60
61;19/02/2020;54000;61
62;28/02/2020;167000;62
63;04/03/2020;232550;63
64;04/03/2020;90000;64
65;11/03/2020;181970;65
66;16/03/2020;131500;66
67;25/03/2020;132300;67
68;31/03/2020;164000;68
69;21/04/2020;138000;69
70;28/04/2020;114400;70
71;29/04/2020;98000;71
72;29/04/2020;104000;72
73;12/05/2020;136000;73
74;15/05/2020;79370;74
75;15/05/2020;69800;75
76;20/05/2020;82500;76
77;06/01/2020;285000;77
78;23/01/2020;237900;78
79;24/01/2020;425000;79
80;28/01/2020;185000;80
81;28/01/2020;210000;81
82;31/01/2020;530000;82
83;06/02/2020;475150;83
84;10/02/2020;295000;84
85;11/02/2020;305500;85
86;21/02/2020;310000;86
87;25/02/2020;435000;87
88;27/02/2020;315800;88
89;05/03/2020;389500;89
90;11/03/2020;229100;90
91;11/03/2020;510000;91
92;08/04/2020;445000;92
93;09/04/2020;145900;93
94;22/04/2020;223905;94
95;29/04/2020;367000;95
96;12/05/2020;230000;96
97;15/05/2020;410000;97
98;19/05/2020;116500;98
99;08/01/2020;720000;99
100;16/01/2020;563130;100
101;20/01/2020;561550;101
102;25/02/2020;640000;102
103;09/03/2020;282000;103
104;15/04/2020;230000;104
105;24/04/2020;289150;105
106;19/05/2020;513350;106
107;29/05/2020;371550;107
108;02/06/2020;471810;108
109;04/06/2020;243000;109
110;19/03/2020;70000;110
111;27/03/2020;170000;111
112;06/02/2020;220000;112
113;07/02/2020;428000;113
114;12/02/2020;292000;114
115;17/02/2020;506000;115
116;18/02/2020;465660,47;116
117;07/04/2020;375000;117
118;15/05/2020;469000;118
119;13/01/2020;114000;119
120;27/01/2020;101050;120
121;04/02/2020;152900;121
122;11/03/2020;43000;122
123;14/03/2020;120000;123
124;13/05/2020;185000;124
125;18/05/2020;65000;125
126;02/06/2020;83000;126
127;14/01/2020;106000;127
128;16/01/2020;131376;128
129;21/01/2020;42000;129
130;10/04/2020;50000;130
131;03/04/2020;174850;131
132;03/02/2020;56000;132
133;20/05/2020;282600;133
134;20/02/2020;105500;134
135;17/04/2020;76000;135
136;27/04/2020;44000;136
137;13/01/2020;129400;137
138;16/01/2020;150200;138
139;28/01/2020;358000;139
140;03/02/2020;67000;140
141;03/02/2020;140500;141
142;05/02/2020;68000;142
143;07/02/2020;164665;143
144;14/02/2020;128460;144
145;18/02/2020;129258;145
146;28/02/2020;74000;146
147;28/02/2020;210000;147
148;16/03/2020;147500;148
149;07/05/2020;188000;149
150;20/05/2020;170000;150
151;10/03/2020;440000;151
152;04/06/2020;100000;152
153;25/02/2020;156580;153
154;10/03/2020;126000;154
155;31/01/2020;150000;155
156;06/01/2020;429250;156
157;07/01/2020;262000;157
158;08/01/2020;190000;158
